country,count
Iraq,24457
Pakistan,14313
Afghanistan,12634
India,11800
Colombia,7835
Philippines,6528
Peru,5808
United Kingdom,5222
El Salvador,4846
Turkey,4126
Somalia,4120
Nigeria,3866
Thailand,3801
Yemen,3270
Spain,3195
Sri Lanka,2905
United States,2834
France,2670
Algeria,2614
Egypt,2458
Lebanon,2331
Chile,2320
Libya,2222
West Bank and Gaza Strip,2212
Russia,2189
Syria,2166
Israel,2128
Guatemala,1957
South Africa,1939
Ukraine,1703
Bangladesh,1578
Nicaragua,1566
Italy,1553
Greece,1269
Nepal,1206
Sudan,932
Argentina,800
Democratic Republic of the Congo,768
Indonesia,744
Germany,713
Kenya,664
Iran,656
Burundi,589
Mali,539
West Germany (FRG),528
Mexico,521
Myanmar,506
Angola,465
Japan,395
Uganda,382
Saudi Arabia,360
Mozambique,333
Cameroon,322
Honduras,319
Ireland,305
Bolivia,304
Venezuela,283
Brazil,266
Central African Republic,266
China,251
South Sudan,223
Georgia,216
Ecuador,213
Haiti,212
Cambodia,206
Yugoslavia,202
Bahrain,199
Kosovo,192
Tajikistan,179
Ethiopia,170
Bosnia-Herzegovina,158
Belgium,154
Niger,152
Rwanda,151
Portugal,139
Namibia,135
Sweden,129
Cyprus,128
Panama,127
Netherlands,126
Macedonia,115
Austria,114
Switzerland,111
Australia,109
Paraguay,109
Jordan,107
Tunisia,104
Malaysia,99
Zimbabwe,95
Canada,94
Sierra Leone,92
Dominican Republic,90
Papua New Guinea,89
Senegal,83
Albania,79
Chad,77
Uruguay,76
Soviet Union,74
Ivory Coast,70
Costa Rica,67
Suriname,62
Kuwait,61
Rhodesia,58
Croatia,56
Zambia,54
Tanzania,53
Bulgaria,52
Burkina Faso,51
Taiwan,50
Azerbaijan,46
Hungary,46
Togo,46
Zaire,44
Denmark,40
Poland,39
Guadeloupe,39
South Korea,38
East Germany (GDR),38
Republic of the Congo,36
Jamaica,34
Kyrgyzstan,34
Macau,33
Liberia,33
Czech Republic,32
Morocco,32
New Caledonia,30
Cuba,29
Madagascar,27
Hong Kong,26
Guyana,26
Kazakhstan,26
Guinea,25
Lesotho,25
Laos,24
Armenia,24
Malta,22
Trinidad and Tobago,22
Uzbekistan,21
Maldives,21
Djibouti,21
Moldova,20
Finland,20
United Arab Emirates,20
New Zealand,20
Norway,19
Slovak Republic,18
Fiji,17
Latvia,17
Ghana,16
Swaziland,15
Mauritania,15
Belarus,13
Estonia,13
Serbia,12
Luxembourg,12
Vietnam,11
Martinique,11
Serbia-Montenegro,11
Botswana,9
Czechoslovakia,9
Guinea-Bissau,9
East Timor,8
Lithuania,8
Gabon,8
Benin,7
Singapore,7
Belize,7
French Guiana,7
Eritrea,6
Brunei,6
Romania,6
Slovenia,6
Qatar,6
Montenegro,5
Bahamas,5
Comoros,5
Malawi,5
Bhutan,5
Grenada,4
North Yemen,4
Iceland,4
Solomon Islands,3
French Polynesia,3
Dominica,3
Western Sahara,3
People's Republic of the Congo,3
Barbados,3
Gambia,3
Seychelles,2
Vanuatu,2
Turkmenistan,2
Mauritius,2
Vatican City,1
South Yemen,1
South Vietnam,1
North Korea,1
New Hebrides,1
Antigua and Barbuda,1
International,1
St. Kitts and Nevis,1
St. Lucia,1
Falkland Islands,1
Equatorial Guinea,1
Wallis and Futuna,1
�ܼ�,177060
